7 6 흑
4 5 백

2021/04/18 13:25:40
1 1 흑
5 5 백
3 6 흑
6 5 백
6 7 흑
7 5 백
6 7 흑
8 5 백
7 6 흑
4 5 백

2021/04/18 13:25:41
1 1 흑
5 5 백
3 6 흑
6 5 백
6 7 흑
7 5 백
6 7 흑
8 5 백
7 6 흑
4 5 백

2021/04/18 13:25:42
1 1 흑
5 5 백
3 6 흑
6 5 백
6 7 흑
7 5 백
6 7 흑
8 5 백
7 6 흑
4 5 백

2021/04/18 13:25:42
1 1 흑
5 5 백
3 6 흑
6 5 백
6 7 흑
7 5 백
6 7 흑
8 5 백
7 6 흑
4 5 백

2021/04/18 13:25:49
1 1 흑
5 5 백
3 6 흑
6 5 백
6 7 흑
7 5 백
6 7 흑
8 5 백
7 6 흑
4 5 백

2021/04/18 13:25:50
1 1 흑
5 5 백
3 6 흑
6 5 백
6 7 흑
7 5 백
6 7 흑
8 5 백
7 6 흑
4 5 백

2021/04/18 13:25:51
1 1 흑
5 5 백
3 6 흑
6 5 백
6 7 흑
7 5 백
6 7 흑
8 5 백
7 6 흑
4 5 백

2021/04/18 13:25:51
1 1 흑
5 5 백
3 6 흑
6 5 백
6 7 흑
7 5 백
6 7 흑
8 5 백
7 6 흑
4 5 백

2021/04/18 13:25:52
1 1 흑
5 5 백
3 6 흑
6 5 백
6 7 흑
7 5 백
6 7 흑
8 5 백
7 6 흑
4 5 백

2021/04/18 13:25:53
1 1 흑
5 5 백
3 6 흑
6 5 백
6 7 흑
7 5 백
6 7 흑
8 5 백
7 6 흑
4 5 백

2021/04/18 13:27:23
1 1 흑
5 5 백
3 1 흑
6 5 백
3 3 흑
5 6 백
3 3 흑
6 6 백
4 3 흑
5 7 백
4 3 흑
5 4 백
2 2 흑
5 3 백

2021/04/18 13:27:24
1 1 흑
5 5 백
3 1 흑
6 5 백
3 3 흑
5 6 백
3 3 흑
6 6 백
4 3 흑
5 7 백
4 3 흑
5 4 백
2 2 흑
5 3 백

2021/04/18 13:27:24
1 1 흑
5 5 백
3 1 흑
6 5 백
3 3 흑
5 6 백
3 3 흑
6 6 백
4 3 흑
5 7 백
4 3 흑
5 4 백
2 2 흑
5 3 백

2021/04/18 13:27:25
1 1 흑
5 5 백
3 1 흑
6 5 백
3 3 흑
5 6 백
3 3 흑
6 6 백
4 3 흑
5 7 백
4 3 흑
5 4 백
2 2 흑
5 3 백

2021/04/18 13:27:26
1 1 흑
5 5 백
3 1 흑
6 5 백
3 3 흑
5 6 백
3 3 흑
6 6 백
4 3 흑
5 7 백
4 3 흑
5 4 백
2 2 흑
5 3 백

2021/04/18 13:27:27
1 1 흑
5 5 백
3 1 흑
6 5 백
3 3 흑
5 6 백
3 3 흑
6 6 백
4 3 흑
5 7 백
4 3 흑
5 4 백
2 2 흑
5 3 백

2021/04/18 13:27:36
1 1 흑
5 5 백
3 1 흑
6 5 백
3 3 흑
5 6 백
3 3 흑
6 6 백
4 3 흑
5 7 백
4 3 흑
5 4 백
2 2 흑
5 3 백

2021/04/18 13:27:37
1 1 흑
5 5 백
3 1 흑
6 5 백
3 3 흑
5 6 백
3 3 흑
6 6 백
4 3 흑
5 7 백
4 3 흑
5 4 백
2 2 흑
5 3 백

2021/04/18 13:27:38
1 1 흑
5 5 백
3 1 흑
6 5 백
3 3 흑
5 6 백
3 3 흑
6 6 백
4 3 흑
5 7 백
4 3 흑
5 4 백
2 2 흑
5 3 백

2021/04/18 13:27:39
1 1 흑
5 5 백
3 1 흑
6 5 백
3 3 흑
5 6 백
3 3 흑
6 6 백
4 3 흑
5 7 백
4 3 흑
5 4 백
2 2 흑
5 3 백

2021/04/18 13:27:39
1 1 흑
5 5 백
3 1 흑
6 5 백
3 3 흑
5 6 백
3 3 흑
6 6 백
4 3 흑
5 7 백
4 3 흑
5 4 백
2 2 흑
5 3 백

2021/04/18 13:27:40
1 1 흑
5 5 백
3 1 흑
6 5 백
3 3 흑
5 6 백
3 3 흑
6 6 백
4 3 흑
5 7 백
4 3 흑
5 4 백
2 2 흑
5 3 백

2021/04/18 14:22:28
1 1 흑
5 5 백
4 6 흑
6 5 백
4 7 흑
7 5 백
3 6 흑
8 5 백
6 6 흑
4 5 백

2021/04/18 14:22:29
1 1 흑
5 5 백
4 6 흑
6 5 백
4 7 흑
7 5 백
3 6 흑
8 5 백
6 6 흑
4 5 백

2021/04/18 14:22:30
1 1 흑
5 5 백
4 6 흑
6 5 백
4 7 흑
7 5 백
3 6 흑
8 5 백
6 6 흑
4 5 백

2021/04/18 14:22:30
1 1 흑
5 5 백
4 6 흑
6 5 백
4 7 흑
7 5 백
3 6 흑
8 5 백
6 6 흑
4 5 백

2021/04/18 14:22:31
1 1 흑
5 5 백
4 6 흑
6 5 백
4 7 흑
7 5 백
3 6 흑
8 5 백
6 6 흑
4 5 백

2021/04/18 14:22:32
1 1 흑
5 5 백
4 6 흑
6 5 백
4 7 흑
7 5 백
3 6 흑
8 5 백
6 6 흑
4 5 백

2021/04/18 14:22:39
1 1 흑
5 5 백
4 6 흑
6 5 백
4 7 흑
7 5 백
3 6 흑
8 5 백
6 6 흑
4 5 백

2021/04/18 14:22:39
1 1 흑
5 5 백
4 6 흑
6 5 백
4 7 흑
7 5 백
3 6 흑
8 5 백
6 6 흑
4 5 백

2021/04/18 14:22:40
1 1 흑
5 5 백
4 6 흑
6 5 백
4 7 흑
7 5 백
3 6 흑
8 5 백
6 6 흑
4 5 백

2021/04/18 14:22:41
1 1 흑
5 5 백
4 6 흑
6 5 백
4 7 흑
7 5 백
3 6 흑
8 5 백
6 6 흑
4 5 백

2021/04/18 14:22:41
1 1 흑
5 5 백
4 6 흑
6 5 백
4 7 흑
7 5 백
3 6 흑
8 5 백
6 6 흑
4 5 백

2021/04/18 14:22:42
1 1 흑
5 5 백
4 6 흑
6 5 백
4 7 흑
7 5 백
3 6 흑
8 5 백
6 6 흑
4 5 백

2021/04/18 14:22:49
1 1 흑
5 5 백
4 6 흑
6 5 백
4 7 흑
7 5 백
3 6 흑
8 5 백
6 6 흑
4 5 백

2021/04/18 14:22:50
1 1 흑
5 5 백
4 6 흑
6 5 백
4 7 흑
7 5 백
3 6 흑
8 5 백
6 6 흑
4 5 백

2021/04/18 14:22:51
1 1 흑
5 5 백
4 6 흑
6 5 백
4 7 흑
7 5 백
3 6 흑
8 5 백
6 6 흑
4 5 백

2021/04/18 14:22:51
1 1 흑
5 5 백
4 6 흑
6 5 백
4 7 흑
7 5 백
3 6 흑
8 5 백
6 6 흑
4 5 백

2021/04/18 14:22:52
1 1 흑
5 5 백
4 6 흑
6 5 백
4 7 흑
7 5 백
3 6 흑
8 5 백
6 6 흑
4 5 백

2021/04/18 14:22:53
1 1 흑
5 5 백
4 6 흑
6 5 백
4 7 흑
7 5 백
3 6 흑
8 5 백
6 6 흑
4 5 백

2021/04/18 14:26:44
1 1 흑
5 5 백
6 7 흑
7 6 백
4 6 흑
7 5 백
6 6 흑
6 8 백
4 7 흑
9 5 백
6 5 흑
7 7 백
8 9 흑
7 4 백
8 6 흑
7 3 백

2021/04/18 14:26:45
1 1 흑
5 5 백
6 7 흑
7 6 백
4 6 흑
7 5 백
6 6 흑
6 8 백
4 7 흑
9 5 백
6 5 흑
7 7 백
8 9 흑
7 4 백
8 6 흑
7 3 백

2021/04/18 14:26:45
1 1 흑
5 5 백
6 7 흑
7 6 백
4 6 흑
7 5 백
6 6 흑
6 8 백
4 7 흑
9 5 백
6 5 흑
7 7 백
8 9 흑
7 4 백
8 6 흑
7 3 백

2021/04/18 14:26:46
1 1 흑
5 5 백
6 7 흑
7 6 백
4 6 흑
7 5 백
6 6 흑
6 8 백
4 7 흑
9 5 백
6 5 흑
7 7 백
8 9 흑
7 4 백
8 6 흑
7 3 백

2021/04/18 14:26:46
1 1 흑
5 5 백
6 7 흑
7 6 백
4 6 흑
7 5 백
6 6 흑
6 8 백
4 7 흑
9 5 백
6 5 흑
7 7 백
8 9 흑
7 4 백
8 6 흑
7 3 백

2021/04/18 14:26:47
1 1 흑
5 5 백
6 7 흑
7 6 백
4 6 흑
7 5 백
6 6 흑
6 8 백
4 7 흑
9 5 백
6 5 흑
7 7 백
8 9 흑
7 4 백
8 6 흑
7 3 백

2021/04/18 14:26:47
1 1 흑
5 5 백
6 7 흑
7 6 백
4 6 흑
7 5 백
6 6 흑
6 8 백
4 7 흑
9 5 백
6 5 흑
7 7 백
8 9 흑
7 4 백
8 6 흑
7 3 백

2021/04/18 14:28:13
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:28:13
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:28:14
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:28:14
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:28:15
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:28:15
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:28:16
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:28:21
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:28:21
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:28:22
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:28:22
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:28:23
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:28:23
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:28:24
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:28:29
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:28:29
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:28:30
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:28:30
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:28:31
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:28:31
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:28:32
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:28:37
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:28:37
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:28:38
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:28:38
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:28:39
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:28:39
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:28:40
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:28:45
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:28:46
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:28:46
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:28:47
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:28:47
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:28:48
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:28:48
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:28:53
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:28:54
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:28:54
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:28:55
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:28:55
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:28:56
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:28:56
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:29:01
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:29:02
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:29:02
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:29:03
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:29:03
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:29:04
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:29:04
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:29:10
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:29:10
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:29:11
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:29:11
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:29:12
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:29:12
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:29:13
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:29:18
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:29:18
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:29:19
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:29:19
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:29:20
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:29:20
1 1 흑
5 5 백
3 5 흑
5 6 백
4 6 흑
5 7 백
4 7 흑
5 4 백
6 8 흑
5 3 백

2021/04/18 14:29:21
1 1 흑
5 5 백
3 5 흑
5 6 백
