11 12 흑
12 12 백
9 12 흑
10 12 백
2 4 흑
3 4 백
2 11 흑
3 11 백
14 9 흑
15 9 백
4 14 흑
6 14 백
5 10 흑
6 10 백
2 6 흑
3 6 백
3 13 흑
4 13 백
4 10 흑
8 10 백
5 6 흑
6 6 백
12 7 흑
13 7 백
3 10 흑
9 10 백

